Student ID,student_name,gender,ethincity,date_of_birth,age,by_lunch,primary_language
0,Paul Bradley,M,African_American,1/29/03,16,Yes,Chinese
1,Victor Smith,M,Other,6/4/03,16,No,Arabic
2,Kevin Rodriguez,M,Asian,4/17/03,16,No,English
3,Dr. Richard Scott,M,White,7/24/01,18,Yes,Spanish
4,Bonnie Ray,F,Hispanic,9/18/02,16,No,Arabic
5,Bryan Miranda,M,White,8/8/02,16,No,English
6,Sheena Carter,F,White,1/16/03,16,Yes,English
7,Nicole Baker,F,African_American,2/23/01,18,Yes,Arabic
8,Michael Roth,M,African_American,7/31/02,17,No,Arabic
9,Matthew Greene,M,White,8/29/01,17,No,Chinese
10,Andrew Alexander,M,White,7/24/03,16,No,Spanish
11,Daniel Cooper,M,Other,3/7/03,16,No,Arabic
12,Brittney Walker,F,White,8/27/02,16,Yes,Arabic
13,William Long,M,Native_American,3/31/02,17,Yes,Chinese
14,Tammy Hebert,F,White,6/10/02,17,Yes,English
15,Dr. Jordan Carson,M,White,3/26/02,17,Yes,English
16,Donald Zamora,M,White,6/8/03,16,Yes,Spanish
17,Kimberly Santiago,F,White,11/7/02,16,Yes,Chinese
18,Kevin Stevens,M,African_American,6/24/02,17,Yes,Spanish
19,Brandi Lyons,F,Native_American,10/5/03,15,No,Arabic
20,Lisa Davis,F,Hispanic,2/10/03,16,Yes,Spanish
21,Kristen Lopez,F,Native_American,10/7/02,16,Yes,Chinese
22,Kimberly Stewart,F,Hispanic,1/30/02,17,No,Arabic
23,Christopher Parker,M,White,7/5/01,18,No,Arabic
24,Chelsea Griffith,F,White,8/25/02,16,Yes,Chinese
25,Cesar Morris,M,White,9/25/02,16,Yes,English
26,Melanie Decker,F,Native_American,8/3/03,16,Yes,Arabic
27,Tracey Oconnor,F,African_American,7/9/02,17,No,English
28,Kelly James,F,Hispanic,10/17/01,17,No,English
29,Nicole Brown,F,Other,1/24/03,16,Yes,Arabic
30,Bobby Harris,M,Hispanic,3/28/01,18,No,Spanish
31,Brian Fernandez,M,African_American,6/14/03,16,No,Chinese
32,Candace Phelps,F,Other,1/21/02,17,Yes,English
33,Amy Gonzalez,F,Other,9/2/01,17,Yes,English
34,Steven Green,M,Native_American,8/27/02,16,No,Chinese
35,Benjamin Carlson,M,Asian,10/7/02,16,Yes,English
36,Kevin Bailey,M,Native_American,11/2/02,16,No,Arabic
